sid,sname,preview_url,album_art,duration
115551,Away for All Time,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/09/0c/5f/090c5faa-f7ec-bb3c-66d5-8fe2c3df8306/mzaf_14823325894406626190.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music113/v4/31/ca/8f/31ca8fc2-3112-05ee-054b-6014029fd9ea/artwork.jpg/88x88bb.jpg,277966
136418,"All for Me (feat. Ashleigh Murray, Asha Bromfield, Hayley Law, Madelaine Petsch)",,,0
115552,Dark Eyes,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/a1/b6/c9/a1b6c94d-01ea-3960-6f96-60deb29a08ec/mzaf_15429075305478004967.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music111/v4/15/a8/4a/15a84ac8-f68d-783e-ff1a-41b63bbea4e7/859719796540_cover.jpg/88x88bb.jpg,258000
248667,Hourglass,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/7f/99/49/7f9949da-a5aa-6503-d686-565d82482eff/mzaf_13935820486524073962.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music71/v4/82/db/6b/82db6b04-8848-3fa0-5f9c-3fc39f2d2688/659696427310_cover.jpg/88x88bb.jpg,270652
71529,Hourglass,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/f8/44/8d/f8448d3c-44f2-dc8c-7757-f2c7f8070bab/mzaf_11361533894132585198.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music115/v4/91/ad/3d/91ad3dd0-ed49-3b09-3805-6a07361d1a81/889326370826_Cover.jpg/88x88bb.jpg,270652
203621,Irreconcilable,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/45/5b/fa/455bfa6e-7236-ae3c-9ecd-5b09714877d5/mzaf_6879873545025524989.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music114/v4/a8/53/3f/a8533fee-4241-37b2-fbf6-8407fe5b843c/794043193590.jpg/88x88bb.jpg,205400
115835,Les oubliés de l'histoire,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/71/d8/41/71d8412c-6d03-f18c-443b-4c5a2b4852d7/mzaf_3068895503114656309.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music/ae/c5/66/mzi.hbolnxyj.jpg/88x88bb.jpg,92707
115836,Let Her Go,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/c3/43/2a/c3432a46-b3c6-b7eb-bf15-0609dba5f74b/mzaf_7691292780125327517.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music115/v4/4b/5c/83/4b5c833d-2160-bc68-0905-5b91d2b6732a/817949019495.jpg/88x88bb.jpg,182607
115838,Flower Pedals,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/82/65/99/8265994f-2d7e-a757-e820-fc8a8a063420/mzaf_7112174428349754713.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music124/v4/f8/22/93/f82293a6-9d04-7b5b-a9e5-032d685170f4/642610483806.jpg/88x88bb.jpg,183900
115851,Walk Home,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/d0/49/27/d04927f7-5426-665a-4e39-8563d83bbfae/mzaf_13059562132030224238.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music/v4/41/89/69/4189699f-4d8f-c459-e627-cd02fb350a2d/cover.jpg/88x88bb.jpg,249453
115843,Strom,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/6c/e2/f3/6ce2f347-2d2c-9f81-0f0e-fab538a608de/mzaf_7949296149940271779.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music18/v4/a1/92/b1/a192b144-40f5-3d50-b387-9b761d7af12f/cover.jpg/88x88bb.jpg,313033
119596,If You See My Boyfriend,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/1e/1e/98/1e1e9886-738c-2883-0673-1ab2daf2cfec/mzaf_10733309866575078056.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music/32/77/b8/mzi.hzmvoplz.jpg/88x88bb.jpg,240000
128035,Long Reach,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/3b/21/e9/3b21e9f2-274c-c01c-78b4-3c073cd56759/mzaf_669120727623649567.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music114/v4/a8/53/3f/a8533fee-4241-37b2-fbf6-8407fe5b843c/794043193590.jpg/88x88bb.jpg,227387
124190,Waves,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/3b/93/06/3b930633-0c2b-db48-b397-6c77c6619c07/mzaf_5204986448107856307.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music114/v4/9e/34/11/9e3411d6-59a7-3053-e5b2-e70325b18d32/18UMGIM87456.rgb.jpg/88x88bb.jpg,240013
116026,Ash Again,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/03/d4/35/03d43572-1fb2-de8f-fd21-16f4f0b17420/mzaf_9992433733474387942.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music30/v4/26/f7/0b/26f70bf8-f9d2-ae51-94d2-96ebf0515987/859717845233_cover.jpg/88x88bb.jpg,150000
116159,Riverina,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/55/24/25/552425db-91cb-c412-3557-fc892a499451/mzaf_16873399258533881369.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music124/v4/03/3e/0c/033e0cf2-ef23-85cd-49b1-e6da1a232a3a/44003185432_1.jpg/88x88bb.jpg,215825
116161,Carl Sagan,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/73/2a/94/732a94fe-542c-e54f-36f6-dc2b171304bb/mzaf_17947366915836817177.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/d1/8d/bc/d18dbc5c-b1f4-f66f-7bb9-98b63343cf55/887828033263.png/88x88bb.jpg,232867
110925,Love as a Weapon,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/0a/53/87/0a538782-5ce9-3b32-3546-508cab25701d/mzaf_15044232812524997336.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music124/v4/bd/49/37/bd493788-22d8-173d-8506-5a29cda26f8a/537_littlescream_mini_2500px.jpg/88x88bb.jpg,292978
116162,Strange Boy (Bonus Track),https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/b7/6f/79/b76f79a6-8142-37d3-c3bb-9e8e9ef21896/mzaf_8989727626681387602.plus.aac.p.m4a,https://i.scdn.co/image/ab67616d00004851b811d6d9c4c3147efad1da65,206718
110426,Real Love Baby,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/37/5e/38/375e38c1-9b3c-0d6b-c947-8a391f59e56a/mzaf_6211194206748324617.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/c2/08/88/c2088800-73fb-7268-5d86-ed642696f37c/FatherJohnMisty_RealLoveBaby_cover_3000x3000_300.jpg/88x88bb.jpg,189293
160822,Shout,,https://i.scdn.co/image/ab67616d000048512fbab20564d37496af948d38,188416
116163,Dreams,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/be/9e/7b/be9e7ba0-43bd-df35-ce62-a36e94548e5d/mzaf_210213777448515018.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music18/v4/1d/27/7c/1d277c11-3a47-6722-c758-a2bd8c81fb2a/190394549060.jpg/88x88bb.jpg,241667
116174,Shout (feat. Malia J),,,0
134250,Healthy Functional Tissue,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview113/v4/4d/3b/8c/4d3b8cfa-1e13-0b31-6e0a-2da32e36a7d3/mzaf_11443209604040622763.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music113/v4/50/d0/2c/50d02cd2-bbdd-52b7-5b83-41a2622bc71f/5056032304451.png/88x88bb.jpg,186640
116165,Muddy Water (2009 Remastered Version),https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/f8/13/13/f8131306-7273-5808-d6a6-e0683345bf8d/mzaf_4166224421976581880.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music42/v4/f2/05/04/f205046c-2642-b199-d307-c0ebcf4cc966/5099923699953.jpg/88x88bb.jpg,317147
19952,Shout,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/0c/86/c9/0c86c973-be34-9ebe-d6ff-e42947d37b00/mzaf_12405386271465551727.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3c/38/fc/3c38fcab-3855-c95c-6c07-6fa62db88a35/14UMGIM34762.rgb.jpg/88x88bb.jpg,392667
39536,You Wish You Were Red,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/45/eb/98/45eb981a-32a2-71e6-5633-830c4e55761f/mzaf_16382455984642159635.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music/a8/07/4d/mzi.tuqzbzgi.jpg/88x88bb.jpg,233733
119488,Wild Thing,,,0
116669,I Got You (feat. KJ Apa & Hayley Law),https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/99/c3/02/99c30294-ed08-a7d5-896b-74cdf1861f38/mzaf_14778291853449809338.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/0a/72/b8/0a72b8ce-eb84-0fa5-c8be-240d22d71be7/794043192074.jpg/88x88bb.jpg,212239
119501,OverdoZZe (feat. Pell),,,0
